ID_Cliente,Evasion,Genero,Adulto_Mayor,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0002-ORFBO,No,Femenino,No,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Anual,Si,Cheque por correo,65.6,593.3,2.19
0003-MKNFE,No,Masculino,No,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque por correo,59.9,542.4,2.0
0004-TLHLJ,Yes,Masculino,No,No,No,4,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Cheque electrónico,73.9,280.85,2.46
0011-IGKFF,Yes,Masculino,Si,Si,No,13,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,98.0,1237.85,3.27
0013-EXCHZ,Yes,Femenino,Si,Si,No,3,Si,No,Fibra optica,No,No,No,Si,Si,No,Mensual,Si,Cheque por correo,83.9,267.4,2.8
0013-MHZWF,No,Femenino,No,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito,69.4,571.45,2.31
0013-SMEOE,No,Femenino,Si,Si,No,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,109.7,7904.25,3.66
0014-BMAQU,No,Masculino,No,Si,No,63,Si,Si,Fibra optica,Si,No,No,Si,No,No,Doble,Si,Tarjeta de credito,84.65,5377.8,2.82
0015-UOCOJ,No,Femenino,Si,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,48.2,340.35,1.61
0016-QLJIS,No,Femenino,No,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Doble,Si,Cheque por correo,90.45,5957.9,3.02
0017-DINOC,No,Masculino,No,No,No,54,No,Sin servicio telefonico,DSL,Si,No,No,Si,Si,No,Doble,No,Tarjeta de credito,45.2,2460.55,1.51
0017-IUDMW,No,Femenino,No,Si,Si,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Tarjeta de credito,116.8,8456.75,3.89
0018-NYROU,No,Femenino,No,Si,No,5,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,68.95,351.5,2.3
0019-EFAEP,No,Femenino,No,No,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Doble,Si,Transferencia bancaria,101.3,7261.25,3.38
0019-GFNTW,No,Femenino,No,No,No,56,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Doble,No,Transferencia bancaria,45.05,2560.1,1.5
0020-INWCK,No,Femenino,No,Si,Si,71,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Doble,Si,Tarjeta de credito,95.75,6849.4,3.19
0020-JDNXP,No,Femenino,No,Si,Si,34,No,Sin servicio telefonico,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque por correo,61.25,1993.2,2.04
0021-IKXGC,No,Femenino,Si,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,72.1,72.1,2.4
0022-TCJCI,Yes,Masculino,Si,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Anual,No,Tarjeta de credito,62.7,2791.5,2.09
0023-HGHWL,Yes,Masculino,Si,No,No,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,25.1,25.1,0.84
0023-UYUPN,No,Femenino,Si,Si,No,50,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Cheque electrónico,25.2,1306.3,0.84
0023-XUOPT,Yes,Femenino,No,Si,No,13,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,No,Cheque electrónico,94.1,1215.6,3.14
0027-KWYKW,No,Femenino,No,Si,Si,23,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,83.75,1849.95,2.79
0030-FNXPP,No,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.85,57.2,0.66
0031-PVLZI,Yes,Femenino,No,Si,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.35,76.35,0.68
0032-PGELS,Yes,Femenino,No,Si,Si,1,No,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria,30.5,30.5,1.02
0036-IHMOT,No,Femenino,No,Si,Si,55,Si,No,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria,103.7,5656.75,3.46
0040-HALCW,No,Masculino,No,Si,Si,54,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,20.4,1090.6,0.68
0042-JVWOJ,No,Masculino,No,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,Si,Transferencia bancaria,19.6,471.85,0.65
0042-RLHYP,No,Femenino,No,Si,Si,69,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Transferencia bancaria,19.7,1396.9,0.66
0047-ZHDTW,,Femenino,No,No,No,11,Si,Si,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Transferencia bancaria,79.0,929.3,2.63
0048-LUMLS,No,Masculino,No,Si,Si,37,Si,No,Fibra optica,No,No,No,No,Si,Si,Anual,No,Tarjeta de credito,91.2,3247.55,3.04
0048-PIHNL,No,Femenino,No,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Transferencia bancaria,20.45,900.9,0.68
0052-DCKON,No,Masculino,No,Si,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,No,Transferencia bancaria,115.8,7942.15,3.86
0052-YNYOT,No,Femenino,No,No,No,67,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Cheque electrónico,20.55,1343.4,0.68
0056-EPFBG,No,Masculino,No,Si,Si,20,No,Sin servicio telefonico,DSL,Si,No,Si,Si,No,No,Doble,Si,Tarjeta de credito,39.4,825.4,1.31
0057-QBUQH,No,Femenino,No,No,Si,43,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Cheque electrónico,25.1,1070.15,0.84
0058-EVZWM,No,Femenino,No,Si,No,55,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,89.8,4959.6,2.99
0060-FUALY,No,Femenino,No,Si,No,59,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mensual,Si,Cheque electrónico,94.75,5597.65,3.16
0064-SUDOG,No,Femenino,No,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Transferencia bancaria,20.3,224.5,0.68
0064-YIJGF,No,Masculino,No,Si,Si,27,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria,75.75,1929,2.52
0067-DKWBL,Yes,Masculino,Si,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,49.25,91.1,1.64
0068-FIGTF,No,Femenino,No,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Anual,No,Cheque por correo,78.2,2078.95,2.61
0071-NDAFP,No,Masculino,No,Si,Si,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,25.5,630.6,0.85
0074-HDKDG,No,Masculino,No,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Anual,Si,Transferencia bancaria,61.6,1611,2.05
0076-LVEPS,No,Masculino,No,No,Si,29,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Mensual,Si,Cheque por correo,45.0,1242.45,1.5
0078-XZMHT,No,Masculino,No,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,85.15,6316.2,2.84
0080-EMYVY,No,Femenino,No,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Anual,No,Tarjeta de credito,51.45,727.85,1.72
0080-OROZO,No,Femenino,No,No,No,35,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Anual,Si,Cheque electrónico,99.25,3532,3.31
0082-LDZUE,No,Masculino,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,44.3,44.3,1.48
0082-OQIQY,No,Masculino,No,No,No,29,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,94.2,2607.6,3.14
0083-PIVIK,No,Masculino,No,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Anual,No,Cheque electrónico,81.25,5567.55,2.71
0089-IIQKO,No,Femenino,No,Si,Si,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito,99.95,3767.4,3.33
0093-EXYQL,No,Femenino,Si,No,No,40,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,91.55,3673.6,3.05
0093-XWZFY,Yes,Masculino,No,No,No,40,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,104.5,4036.85,3.48
0094-OIFMO,Yes,Femenino,Si,No,No,11,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,95.0,1120.3,3.17
0096-BXERS,No,Femenino,No,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,50.35,314.55,1.68
0096-FCPUF,No,Masculino,No,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mensual,Si,Cheque por correo,64.5,1888.45,2.15
0098-BOWSO,No,Masculino,No,No,No,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,19.4,529.8,0.65
0100-DUVFC,No,Masculino,Si,Si,No,70,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Anual,Si,Cheque electrónico,104.8,7308.95,3.49
0103-CSITQ,No,Femenino,No,Si,No,57,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria,109.4,6252.7,3.65
0104-PPXDV,No,Masculino,No,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Anual,No,Tarjeta de credito,50.3,2878.55,1.68
0106-GHRQR,No,Masculino,No,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mensual,Si,Transferencia bancaria,71.4,1212.1,2.38
0106-UGRDO,No,Femenino,No,Si,No,69,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,116.0,8182.85,3.87
0107-WESLM,Yes,Masculino,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,19.85,19.85,0.66
0107-YHINA,Yes,Masculino,No,No,Si,1,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,99.75,99.75,3.32
0111-KLBQG,No,Masculino,Si,Si,Si,32,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque por correo,93.95,2861.45,3.13
0112-QAWRZ,No,Masculino,No,Si,Si,16,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Transferencia bancaria,90.8,1442.2,3.03
0112-QWPNC,Yes,Masculino,No,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque electrónico,84.35,4059.35,2.81
0114-IGABW,No,Femenino,No,Si,No,71,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Doble,No,Transferencia bancaria,58.25,4145.9,1.94
0114-PEGZZ,No,Femenino,No,No,No,33,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,No,Cheque electrónico,107.55,3645.5,3.58
0114-RSRRW,No,Femenino,No,Si,No,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Transferencia bancaria,19.95,187.75,0.66
0115-TFERT,Yes,Masculino,No,Si,No,21,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,111.2,2317.1,3.71
0117-LFRMW,Yes,Masculino,No,Si,Si,37,No,Sin servicio telefonico,DSL,Si,Si,Si,No,No,No,Mensual,No,Transferencia bancaria,40.2,1448.8,1.34
0118-JPNOY,No,Femenino,Si,No,No,26,Si,No,Fibra optica,Si,No,No,No,Si,No,Mensual,Si,Tarjeta de credito,85.8,2193.65,2.86
0120-YZLQA,,Masculino,No,No,No,71,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Tarjeta de credito,19.9,1355.1,0.66
0121-SNYRK,No,Masculino,No,No,No,50,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,Si,Cheque por correo,35.4,1748.9,1.18
0122-OAHPZ,Yes,Femenino,No,No,No,7,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,73.85,511.25,2.46
0123-CRBRT,No,Femenino,No,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Doble,No,Cheque por correo,88.1,5526.75,2.94
0125-LZQXK,Yes,Masculino,No,No,No,15,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,101.35,1553.95,3.38
0128-MKWSG,No,Femenino,No,No,Si,26,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,Si,Mensual,No,Cheque por correo,45.8,1147,1.53
0129-KPTWJ,No,Masculino,No,Si,No,72,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,94.65,6747.35,3.16
0129-QMPDR,No,Masculino,No,Si,Si,44,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,Si,Transferencia bancaria,20.5,865.05,0.68
0130-SXOUN,No,Masculino,No,No,No,66,Si,Si,Fibra optica,No,Si,No,No,No,Si,Mensual,No,Tarjeta de credito,89.4,5976.9,2.98
0133-BMFZO,Yes,Femenino,No,No,No,2,Si,No,Fibra optica,Si,Si,No,Si,No,No,Mensual,Si,Cheque electrónico,86.25,181.65,2.88
0134-XWXCE,No,Femenino,Si,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Anual,No,Transferencia bancaria,74.85,3268.05,2.49
0135-NMXAP,Yes,Femenino,No,No,No,12,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria,89.75,1052.4,2.99
